Name,Hull Nr.,Class,Reactor,Nr. Reactor,reference
Cincinnati, SSN 693, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Groton, SSN 694, 688,S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Birmingham, SSN 695, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
New York City, SSN 696, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Indianapolis, SSN 697, 688,S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Bremerton, SSN 698, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Jacksonville, SSN 699, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Dallas, SSN 700, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
La Jolla, SSN 701, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Phoenix, SSN 702, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Boston, SSN 703, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Baltimore, SSN 704, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
City of Corpus Christi, SSN 705, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Albuquerque, SSN 706, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Portsmouth, SSN 707, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Minneapolis–St. Paul, SSN 708, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Hyman G. Rickover, SSN 709, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Augusta, SSN 710, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
San Francisco, SSN 711, 688,S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Atlanta, SSN 712, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Houston, SSN 713, 688,S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Norfolk, SSN 714, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
